"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"342572","06","JOHNSTON DIALYSIS CENTER INC","545 EAST MARKET STREET","","SMITHFIELD","NC","27577","JOHNSTON","(919) 934-9188","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","19","13","68","82","4","17","13","70","83","4","17","83","83","4","8","31","61","86","4","0","24","76","93","5","2","14","84","95","5","40","4"
"342573","06","MOUNT OLIVE DIALYSIS","105 MICHAEL MARTIN ROAD","","MOUNT OLIVE","NC","28365","WAYNE","(919) 658-0878","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","11","16","73","87","4","19","17","64","80","3","20","80","80","4","3","34","63","91","4","3","33","64","90","4","11","18","71","89","4","31","4"
"342576","06","RAI CARE CENTERS GOLDSBORO","2403 WAYNE MEMORIAL DR","","GOLDSBORO","NC","27530","WAYNE","(919) 734-0044","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342577","06","DIALYSIS CARE OF EDGECOMBE COUNTY","3206 WESTERN BLVD","","TARBORO","NC","27886","EDGECOMBE","(252) 641-9004","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","20","19","61","79","3","24","24","52","74","2","21","79","79","3","9","27","64","88","4","19","28","53","82","3","20","18","62","84","2","70","3"
"342578","06","SOUTHEASTERN DIALYSIS ELIZABETHTOWN","101 DIALYSIS DRIVE","","ELIZABETHTOWN","NC","28337","BLADEN","(910) 862-7022","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","14","7","79","88","5","25","17","58","76","3","19","81","81","4","7","17","76","91","4","14","32","54","82","3","15","32","53","82","2","52","4"
"342579","06","DIALYSIS CARE OF HOKE COUNTY INC","403 SOUTH MAIN STREET","","RAEFORD","NC","28376","HOKE","(910) 875-6561","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","25","12","63","77","2","24","18","58","77","3","19","81","81","4","18","29","53","82","3","17","27","56","83","3","14","22","64","86","3","74","3"
"342581","06","BMA OF BEATTIES FORD INC","1534 NORTH HOSKINS ROAD","","CHARLOTTE","NC","28216","MECKLENBURG","(704) 394-7335","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","21","18","61","77","2","28","20","52","73","2","22","78","78","3","18","41","41","77","1","18","42","40","80","2","25","37","38","78","1","51","2"
"342582","06","SOUTHEASTERN DIALYSIS SHALLOTTE","4770 SHALLOTTE AVENUE","","SHALLOTTE","NC","28470","BRUNSWICK","(910) 754-5563","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","10","9","81","89","5","17","12","71","83","4","19","81","81","4","6","16","78","91","4","11","14","75","89","4","10","17","73","89","4","32","4"
"342583","06","DIALYSIS CARE OF MONTGOMERY COUNTY INC","323 WEST MAIN ST","","BISCOE","NC","27209","MONTGOMERY","(910) 428-4052","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","24","19","57","75","2","26","19","55","74","2","24","76","76","3","14","49","37","79","2","17","41","42","80","2","14","33","53","84","2","50","2"
"342584","06","DIALYSIS CARE OF MARTIN COUNTY INC","100 MEDICAL DRIVE","","WILLIAMSTON","NC","27892","MARTIN","(252) 792-2386","Non-Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342585","06","FMC DIALYSIS OF CRAVEN COUNTY","2113-B NEUSE BLVD","","NEW BERN","NC","28560","CRAVEN","(252) 633-3378","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342586","06","FRESENIUS MEDICAL CARE EAST NORTHAMPTON COUNTY","121 NORTH CHURCH ST","","CONWAY","NC","27820","NORTHAMPTON","(252) 585-0236","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","21","12","67","81","3","27","17","56","74","2","13","87","87","5","14","30","56","84","3","15","18","67","87","3","6","13","81","93","5","42","4"
"342587","06","GOLDSBORO SOUTH DIALYSIS","1704 WAYNE MEMORIAL DRIVE","","GOLDSBORO","NC","27530","WAYNE","(919) 739-6505","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","24","10","66","80","3","16","18","66","83","4","19","81","81","4","5","32","63","89","4","9","27","64","87","3","15","15","70","85","3","43","4"
"342588","06","BMA OF CRYSTAL COAST INC","3332 BRIDGES STREET","SUITE 7","MOREHEAD CITY","NC","28557","CARTERET","(252) 808-0444","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","21","8","71","82","4","15","26","59","80","3","18","82","82","4","13","22","65","84","3","4","25","71","91","4","5","28","67","88","3","31","4"
"342589","06","BMA OF ZEBULON INC","465 STRATFORD DRIVE","","ZEBULON","NC","27597","WAKE","(919) 269-8889","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","30","13","57","72","1","22","21","57","77","3","16","84","84","4","35","18","47","72","1","10","33","57","85","3","12","25","63","87","3","45","3"
"342590","06","WEST PETTIGREW DIALYSIS CENTER","1507 W PETTIGREW STREET","","DURHAM","NC","27705","DURHAM","(919) 286-4777","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342591","06","DSI GLENWATER DIALYSIS","9030 GLENWATER DRIVE","","CHARLOTTE","NC","28262","MECKLENBURG","(704) 503-6900","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/21/2017 - 01/17/2018","001","21","14","65","79","3","38","17","45","65","1","31","69","69","1","14","32","54","83","3","35","39","26","70","1","36","27","37","73","1","71","2"
"342592","06","DIALYSIS OF KANNAPOLIS","1607 NORTH MAIN STREET","","KANNAPOLIS","NC","28081","ROWAN","(704) 933-0809","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","34","9","57","68","1","30","15","55","71","2","27","73","73","2","31","32","37","74","1","24","24","52","78","2","21","17","62","82","2","49","2"
"342593","06","FMC DIALYSIS SERVICES NORTH RAMSEY","130 LONGVIEW DRIVE","","FAYETTEVILLE","NC","28311","CUMBERLAND","(910) 482-3491","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","29","18","53","71","1","28","26","46","70","1","24","76","76","3","28","31","41","72","1","23","32","45","77","1","30","35","35","73","1","48","1"
"342594","06","BMA NATIONS FORD","7901 ENGLAND STREET","","CHARLOTTE","NC","28273","MECKLENBURG","(704) 552-9102","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","13","6","81","89","5","29","18","53","72","2","24","76","76","3","2","27","71","91","4","15","29","56","82","3","13","22","65","87","3","37","3"
"342595","06","BMA KINGS MOUNTAIN","604 CANTERBURY RD","","KINGS MOUNTAIN","NC","28086","GASTON","(704) 730-1270","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342596","06","FMC DIALYSIS SERVICES EAST CAROLINA UNIVERSITY","2355 W ARLINGTON BLVD","","GREENVILLE","NC","27834","PITT","(252) 329-8000","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","15","21","64","81","3","20","27","53","76","3","16","84","84","4","13","39","48","82","3","10","32","58","86","3","6","28","66","87","3","39","3"
"342597","06","FRESENIUS MEDICAL CARE CASWELL","1702 HWY 86 NORTH","","YANCEYVILLE","NC","27379","CASWELL","(336) 694-1084","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342598","06","DARE COUNTY DIALYSIS","115 EXETER STREET","","MANTEO","NC","27954","DARE","(252) 475-3530","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342599","06","TRIAD DIALYSIS CENTER","4370 REGENCY DRIVE","","HIGH POINT","NC","27265","GUILFORD","(336) 454-0076","Non-Profit","Yes","WAKE FOREST UNIVERSITY","04/21/2017 - 01/17/2018","001","14","14","72","85","4","12","18","70","85","4","20","80","80","4","8","22","70","89","4","8","33","59","87","3","4","29","67","90","4","36","4"
"342600","06","BMA OF SOUTHWEST GREENSBORO","5020 MACKAY ROAD","","JAMESTOWN","NC","27282","GUILFORD","(336) 854-7807","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","26","13","61","76","2","26","23","51","73","2","32","68","68","1","24","40","36","77","1","22","36","42","79","2","16","30","54","83","2","39","2"
"342601","06","FMC DIALYSIS SERVICES SOUTH RAMSEY","526 RAMSEY STREET","","FAYETTEVILLE","NC","28301","CUMBERLAND","(910) 221-4363","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","27","13","60","76","2","26","23","51","73","2","21","79","79","3","22","26","52","80","2","20","35","45","79","2","19","35","46","81","2","56","2"
"342602","06","CHEROKEE DIALYSIS CENTER","53 ECHOTA CHURCH ROAD","","CHEROKEE","NC","28719","SWAIN","(828) 497-6866","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342603","06","BMA OF EAST ROCKY MOUNT","230 SOUTH FAIRVIEW ROAD","","ROCKY MOUNT","NC","27801","EDGECOMBE","(252) 442-6311","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","19","11","70","83","4","29","15","56","74","2","20","80","80","4","13","31","56","84","3","12","33","55","83","3","16","23","61","84","2","56","3"
"342604","06","WEAVERVILLE DIALYSIS","329 MERRIMON AVENUE","","WEAVERVILLE","NC","28787","BUNCOMBE","(828) 658-1143","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342605","06","BMA EAST CHARLOTTE","1334 CENTRAL AVENUE","","CHARLOTTE","NC","28205","MECKLENBURG","(704) 334-2226","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","15","11","74","85","4","22","21","57","77","3","18","82","82","4","14","24","62","88","4","16","28","56","83","3","23","18","59","83","2","40","3"
"342606","06","LAKE NORMAN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY","164 PROFESSIONAL PARK DRIVE","","MOORESVILLE","NC","28117","IREDELL","(704) 799-1860","Non-Profit","Yes","WAKE FOREST UNIVERSITY","04/21/2017 - 01/17/2018","001","23","16","61","78","3","21","26","53","76","3","15","85","85","4","14","40","46","81","2","13","43","44","83","3","8","32","60","86","3","50","3"
"342607","06","RED SPRINGS DIALYSIS CENTER","1000 EAST 4TH AVENUE","","RED SPRINGS","NC","28377","ROBESON","(910) 843-9311","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342608","06","FUQUAY VARINA KIDNEY CENTER","916 SOUTH MAIN STREET","","FUQUAY VARINA","NC","27526","WAKE","(919) 552-1926","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","11","10","79","88","5","11","20","69","85","4","19","81","81","4","3","22","75","93","5","4","23","73","89","4","5","15","80","93","5","41","5"
"342609","06","FMC VERNON DIALYSIS UNIT","3101 WEST NEW BERN ROAD","","KINSTON","NC","28504","LENOIR","(252) 522-1000","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","18","25","57","78","3","16","18","66","82","4","18","82","82","4","12","37","51","83","3","6","27","67","89","4","4","12","84","94","5","30","4"
"342610","06","FMC DIALYSIS SERVICES OF WARREN HILLS","884 US HIGHWAY 158 BUSINESS WEST","","WARRENTON","NC","27589","WARREN","(252) 257-0420","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","40","10","50","65","1","43","14","43","62","1","30","70","70","1","38","31","31","70","1","35","27","38","73","1","30","24","46","75","1","31","1"
"342611","06","DIALYSIS CLINIC INC KINGS MOUNTAIN","1010 SHELBY ROAD","","KINGS MOUNTAIN","NC","28086","CLEVELAND","(704) 739-9342","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342612","06","NORTHSIDE DIALYSIS CENTER OF WAKE FOREST UNIVERISITY","500 WEST HANES MILL ROAD","","WINSTON SALEM","NC","27105","FORSYTH","(336) 744-0577","Non-Profit","Yes","WAKE FOREST UNIVERSITY","04/21/2017 - 01/17/2018","001","11","11","78","88","5","15","18","67","83","4","26","74","74","2","14","16","70","88","4","11","16","73","89","4","12","12","76","90","4","56","4"
"342613","06","BMA NORTHWEST GREENSBORO KIDNEY CENTER","2837 HORSEPEN CREEK","","GREENSBORO","NC","27410","GUILFORD","(336) 664-6869","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","10","16","74","86","4","19","22","59","78","3","28","72","72","2","9","20","71","88","4","12","23","65","85","3","11","17","72","87","3","54","3"
"342614","06","ELKIN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY","941 JOHNSON RIDGE RD","","ELKIN","NC","28621","SURRY","(336) 527-4722","Non-Profit","Yes","WAKE FOREST UNIVERSITY","04/21/2017 - 01/17/2018","001","13","21","66","83","4","23","24","53","75","3","24","76","76","3","2","24","74","92","5","13","36","51","83","3","11","26","63","87","3","31","4"
"342615","06","FMC DIALYSIS SERVICES OF BRIGGS AVENUE","1209 SOUTH BRIGGS AVENUE","","DURHAM","NC","27703","DURHAM","(919) 598-9992","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","22","14","64","78","3","25","20","55","74","2","23","77","77","3","19","30","51","81","2","22","26","52","81","2","21","21","58","83","2","44","2"
"342616","06","DURHAM WEST DIALYSIS","4307 WESTERN PARK PLACE","SUITE 8","DURHAM","NC","27705","DURHAM","(919) 384-0712","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","12","15","73","86","4","27","28","45","70","1","21","79","79","3","8","12","80","91","4","9","40","51","82","3","6","38","56","85","3","54","3"
"342617","06","CAROLINA DIALYSIS PITTSBORO","480 HILLSBORO STREET","SUITE 300","PITTSBORO","NC","27312","CHATHAM","(919) 545-0019","Non-Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342618","06","FMC DIALYSIS SERVICES PLYMOUTH","734 US HIGHWAY 64 EAST","","PLYMOUTH","NC","27962","WASHINGTON","(252) 793-6300","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342619","06","HALIFAX COUNTY DIALYSIS CENTER","612 MAIN STREET","","SCOTLAND NECK","NC","27874","HALIFAX","(252) 826-5722","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","24","10","66","79","3","19","19","62","79","3","15","85","85","4","20","21","59","83","3","8","38","54","86","3","6","27","67","90","4","38","3"
"342620","06","CAROLINA DIALYSIS SANFORD","1922 K M WICKER MEMORIALL DRIVE","","SANFORD","NC","27330","LEE","(919) 718-0680","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","17","16","67","82","4","23","22","55","76","3","23","77","77","3","1","26","73","91","4","10","32","58","86","3","4","29","67","91","4","34","4"
"342621","06","CAROLINA DIALYSIS SILER CITY","192 CAMPUS DRIVE","","SILER CITY","NC","27344","CHATHAM","(919) 663-1054","Non-Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","11","12","77","88","5","11","16","73","86","5","15","85","85","4","10","28","62","85","3","5","32","63","88","4","4","20","76","91","4","34","4"
"342622","06","CAROLINA DIALYSIS CARRBORO","105 RENEE LYNNE COURT","","CARRBORO","NC","27510","ORANGE","(919) 966-4359","Non-Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","18","18","64","80","3","16","24","60","80","3","25","75","75","2","8","28","64","86","4","4","27","69","89","4","3","30","67","90","4","48","3"
"342623","06","FMC DIALYSIS SERVICES OF ROBESON COUNTY","704 SOUTH WALNUT STREET","","FAIRMONT","NC","28340","ROBESON","(910) 628-6898","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342625","06","FMC DIALYSIS SERVICES OF JONES COUNTY","110 INDUSTRIAL PARK DRIVE","","TRENTON","NC","28585","JONES","(252) 448-4575","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342627","06","CHARLOTTE EAST DIALYSIS","5627 ALBEMARLE RD","","CHARLOTTE","NC","28212","MECKLENBURG","(704) 535-3962","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","23","13","64","77","2","29","13","58","73","2","27","73","73","2","16","36","48","81","2","16","29","55","83","3","18","21","61","81","2","61","2"
"342628","06","DAVITA DIALYSIS OF CHADBOURN","210 EAST STRAWBERRY BLVD","","CHADBOURN","NC","28431","COLUMBUS","(910) 654-3190","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342629","06","DAVITA WAYNESVILLE DIALYSIS CENTER","11 PARK TERRACE DRIVE","","CLYDE","NC","28721","HAYWOOD","(828) 627-2907","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","6","13","81","91","5","11","23","66","85","4","13","87","87","5","0","29","71","93","5","2","35","63","90","4","4","20","76","91","4","36","5"
"342630","06","RAI CARE CENTERS  WARSAW","213 W COLLEGE STREET","","WARSAW","NC","28398","DUPLIN","(910) 293-9984","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342631","06","COPPERFIELD DIALYSIS","1030 VINEHAVEN DR NE","","CONCORD","NC","28025","CABARRUS","(704) 795-7552","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","23","17","60","77","2","28","18","54","74","2","24","76","76","3","23","35","42","78","2","18","27","55","82","3","29","9","62","80","1","40","2"
"342632","06","FRESENIUS MEDICAL CARE OF AYDEN","3793 LEE STREET","","AYDEN","NC","28513","PITT","(252) 746-9622","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342633","06","KING DIALYSIS CENTER OF WAKE FOREST UNIVERSITY","140 MOORE ROAD","","KING","NC","27021","STOKES","(336) 985-3531","Non-Profit","Yes","WAKE FOREST UNIVERSITY","04/21/2017 - 01/17/2018","001","13","16","71","85","4","9","19","72","87","5","14","86","86","5","10","17","73","89","4","0","14","86","96","5","1","11","88","97","5","36","5"
"342634","06","FMC OF EAST GREENSBORO","3839 BURLINGTON ROAD","","GREENSBORO","NC","27405","GUILFORD","(336) 358-1233","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","22","16","62","78","3","36","18","46","66","1","25","75","75","2","19","27","54","81","2","31","25","44","72","1","27","24","49","77","1","68","2"
"342635","06","FRESENIUS MEDICAL SERVICES OF CATAWBA VALLEY","301 10TH STREET NW","SUITE C 101","CONOVER","NC","28613","CATAWBA","(828) 464-3830","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","15","15","70","84","4","14","16","70","84","4","15","85","85","4","15","22","63","85","3","10","24","66","87","3","15","15","70","86","3","53","4"
"342636","06","WEST IREDELL DIALYSIS CENTER","115 WESTBROOK LANE","","STATESVILLE","NC","28625","IREDELL","(704) 881-0336","Non-Profit","Yes","WAKE FOREST UNIVERSITY","04/21/2017 - 01/17/2018","001","11","23","66","84","4","12","16","72","86","5","15","85","85","4","8","38","54","87","4","9","22","69","89","4","7","20","73","89","4","37","4"
"342637","06","FOREST HILLS DIALYSIS","1605 MEDICAL PARK DRIVE WEST","","WILSON","NC","27893","WILSON","(252) 291-8417","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","21","10","69","80","3","17","13","70","83","4","17","83","83","4","11","24","65","86","4","5","24","71","90","4","5","21","74","91","4","80","4"
"342638","06","SOUTHERN PINES DIALYSIS CENTER","209 WINDSTAR PLACE","","SOUTHERN PINES","NC","28387","MOORE","(910) 692-6218","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","22","10","68","79","3","28","13","59","74","2","15","85","85","4","7","29","64","87","4","16","21","63","84","3","15","7","78","87","3","39","3"
"342639","06","THOMASVILLE DIALYSIS CENTER OF WAKE FOREST UNIVERSITY","10 LAURA LANE","","THOMASVILLE","NC","27360","DAVIDSON","(336) 472-4500","Non-Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","001","13","12","75","86","4","19","20","61","79","3","17","83","83","4","9","22","69","90","4","12","29","59","85","3","14","16","70","89","4","59","4"
"342640","06","REIDSVILLE DIALYSIS","1307 FREEWAY DRIVE","","REIDSVILLE","NC","27320","ROCKINGHAM","(336) 348-6857","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","25","17","58","75","2","25","23","52","74","2","24","76","76","3","17","32","51","80","2","25","28","47","78","2","19","26","55","83","2","71","2"
