"Provider Number","Network","Facility Name ","Address Line 1","Address Line 2","City","State ","Zip","County","Phone Number","Profit or Non-Profit","Chain Owned","Chain Organization ","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients-nephrologists’ communication and caring","Middle box percent of patients-nephrologists’ communication and caring","Top box percent of patients-nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients ","Top box percent of patients- providing information to patients","Lower box percent of patients-rating of the nephrologist ","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff ","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff ","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility ","Top box percent of patients-rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys"
"342590","06","WEST PETTIGREW DIALYSIS CENTER","1507 W PETTIGREW STREET","","DURHAM","NC","27705","DURHAM","9192864777","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","26","19","55","23","24","53","21","79","31","24","45","25","31","44","23","30","47","35"
"342591","06","DSI GLENWATER DIALYSIS","9030 GLENWATER DRIVE","","CHARLOTTE","NC","28262","MECKLENBURG","7045036900","1","Y","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","22Apr2016-13Jan2017","001","21","15","64","37","22","41","35","65","21","22","57","35","26","39","27","34","39","58"
"342637","06","FOREST HILLS DIALYSIS","1605 MEDICAL PARK DRIVE WEST","","WILSON","NC","27893","WILSON","2522918417","1","Y","DAVITA","22Apr2016-13Jan2017","001","18","9","73","13","15","72","16","84","12","30","58","7","28","65","4","21","75","57"
"362521","09","FMC - AKRON CANTON KIDNEY CENTER","1565 CORPORATE WOODS PKWY","","UNIONTOWN","OH","44685","SUMMIT","3308966311","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","11","17","72","13","21","66","17","83","7","23","70","5","20","75","9","8","83","35"
"362522","09","DAVITA - EASTGATE DIALYSIS","4435 AICHOLTZ ROAD, SUITE 800A","","CINCINNATI","OH","45245","CLERMONT","5137525544","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362523","09","FMC- AUSTINTOWN","139 JAVIT COURT","","AUSTINTOWN","OH","44515","MAHONING","3307991150","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","13","21","66","13","25","62","17","83","6","26","68","10","23","67","8","22","70","58"
"362524","09","DAVITA DIALYSIS CENTERS OF DAYTON EAST","1431 BUSINESS CENTER COURT","","DAYTON","OH","45410","MONTGOMERY","9372521867","1","Y","DAVITA","22Apr2016-13Jan2017","001","23","10","67","18","20","62","18","82","16","21","63","10","28","62","11","18","71","34"
"362526","09","US RENAL CARE - TALMADGE ROAD HOME DIALYSIS","4447 TALMADGE RD SUITE E","","TOLEDO","OH","43623","LUCAS","4194753000","1","Y","US RENAL CARE, INC.","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"362528","09","FMC - DAYTON REGIONAL DIALYSIS-SOUTH,INC","7700 WASHINGTON VILLAGE DRIVE, SUITE 100","","DAYTON","OH","45459","MONTGOMERY","9374389595","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","30","13","57","26","24","50","26","74","22","33","45","22","31","47","16","18","66","31"
"342528","06","FMC LUMBERTON DIALYSIS UNIT","720 WESLEY PINES ROAD","","LUMBERTON","NC","28358","ROBESON","9107382421","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","18","17","65","29","17","54","18","82","17","37","46","27","32","41","26","23","51","54"
"342529","06","DCI SHELBY INC","1016 N LAFAYETTE STREET","","SHELBY","NC","28150","CLEVELAND","7044818405","2","Y","DIALYSIS CLINIC, INC.","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"342531","06","GOLDSBORO DIALYSIS","2609 HOSPITAL ROAD","","GOLDSBORO","NC","27534","WAYNE","9197341410","1","Y","DAVITA","22Apr2016-13Jan2017","001","16","15","69","21","20","59","17","83","15","19","66","12","25","63","15","16","69","60"
"342532","06","TOTAL RENAL CARE OF NORTH CAROLINA LLC","14 OFFICE PARK DRIVE","","JACKSONVILLE","NC","28546","ONSLOW","9103536888","1","Y","DAVITA","22Apr2016-13Jan2017","001","19","14","67","19","23","58","12","88","16","29","55","15","32","53","16","22","62","49"
"342533","06","BMA OF BURLINGTON INC","3325 GARDEN ROAD","","BURLINGTON","NC","27215","ALAMANCE","3365248989","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","23","14","63","31","26","43","25","75","16","40","44","22","41","37","27","34","39","55"
"342534","06","NEW BERN DIALYSIS","2113 NEUSE BLVD","","NEW BERN","NC","28560","CRAVEN","2526336303","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","36","16","48","28","17","55","23","77","28","34","38","18","30","52","20","32","48","66"
"342535","06","SOUTHEASTERN DIALYSIS KENANSVILLE","305 BEASLEY STREET","","KENANSVILLE","NC","28349","DUPLIN","9102960748","1","Y","DAVITA","22Apr2016-13Jan2017","001","25","14","61","19","19","62","21","79","9","38","53","6","43","51","7","27","66","33"
"362599","09","FMC - KNOX COUNTY KIDNEY CENTER","14 WOOD LAKE TRAIL","","MOUNT VERNON","OH","43050","KNOX","7403931624","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362600","09","DAVITA BELDEN COMMUNITY DIALYSIS","4685 FULTON ROAD NW","","CANTON","OH","44718","STARK","3306494059","1","Y","DAVITA","22Apr2016-13Jan2017","001","19","12","69","21","19","60","19","81","17","14","69","13","18","69","16","8","76","48"
"362602","09","DAVITA - FAIRFIELD DIALYSIS","1210 HICKS BLVD","","FAIRFIELD","OH","45014","BUTLER","5139391110","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362603","09","CENTER FOR DIALYSIS CARE AT HEATHER HILL","12340 BASSLAKE ROAD","","HEATHER HILL","OH","44024","GEAUGA","4402864103","2","Y","CENTERS FOR DIALYSIS CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362604","09","FMC- ARROWHEAD DIALYSIS CENTER","322 W DUSSEL DRIVE","","MAUMEE","OH","43537","LUCAS","4198912200","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","14","18","68","14","26","60","18","82","9","37","54","11","29","60","9","24","67","38"
"362607","09","FMC - TOLEDO CENTRAL DIALYSIS","3100 WEST CENTRAL AVENUE, SUITE 100","","TOLEDO","OH","43606","LUCAS","4195394000","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","20","12","68","27","17","56","27","73","18","24","58","20","33","47","22","20","58","51"
"362736","09","DAVITA - BATAVIA DIALYSIS","4000 GOLDEN AGE DRIVE","","BATAVIA","OH","45103","CLERMONT","5137350700","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"342592","06","DIALYSIS OF KANNAPOLIS","1607 NORTH MAIN STREET","","KANNAPOLIS","NC","28081","ROWAN","7049330809","1","Y","DAVITA","22Apr2016-13Jan2017","001","31","16","53","23","20","57","24","76","28","39","33","23","19","58","19","20","61","39"
"342593","06","FMC DIALYSIS SERVICES NORTH RAMSEY","130 LONGVIEW DRIVE","","FAYETTEVILLE","NC","28311","CUMBERLAND","9104823491","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","32","15","53","32","20","48","32","68","31","22","47","40","28","32","42","30","28","49"
"342594","06","BMA NATIONS FORD","7901 ENGLAND STREET","","CHARLOTTE","NC","28273","MECKLENBURG","7045529102","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","12","17","71","21","24","55","25","75","12","39","49","19","24","57","18","24","58","47"
"342595","06","BMA KINGS MOUNTAIN","508 CANTERBURY ROAD","","KINGS MOUNTAIN","NC","28086","GASTON","7047301270","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"343504","06","DUKE UNIVERSITY MEDICAL CENTER DIALYSIS UNIT","PO BOX 2904","1306 MORREENE ROAD","DURHAM","NC","27705","DURHAM","9196843012","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"350002","11","CHI ST ALEXIUS HEALTH - BISMARCK DIALYSIS","900 E BROADWAY","","BISMARCK","ND","58501","BURLEIGH","7015308350","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"350006","11","TRINITY HOSPITAL - ST JOSEPHS","407 - 3RD STREET SE","KIDNEY DIALYSIS, 4TH FLOOR","MINOT","ND","58701","WARD","7018575404","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362529","09","FMC- DIALYSIS & NEPHROLOGY ASSOC OF NE OHIO","1050 NORTH ABBE ROAD","","ELYRIA","OH","44035","LORAIN","4403661975","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"362530","09","DCI - FOREST PARK","1075 KEMPER MEADOW DR","","CINCINNATI","OH","45240","HAMILTON","5135226200","2","Y","DIALYSIS CLINIC, INC.","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362672","09","DAVITA - DIALYSIS CENTERS OF WARREN  COUNTY","90 COMMERCIAL WAY","","SPRINGBORO","OH","45066","WARREN","9377040589","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362674","09","FMC-PUTNAM CTY AMBULATORY CARE CTR-DIALYSIS","601 STATE RT 224","P.O. BOX 100","GLANDORF","OH","45848","PUTNAM","4195387406","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362675","09","FMC - WASHINGTON COURTHOUSE","1280 RAWLING STREET","","WASHINGTON COURT HOU","OH","43160","FAYETTE","7403354267","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362677","09","CHILLICOTHE REGIONAL DIALYSIS CENTER","465  SHAWNEE LANE","","CHILLICOTHE","OH","45601","ROSS","7407744777","1","Y","AMERICAN RENAL ASSOCIATES","22Apr2016-13Jan2017","001","8","12","80","14","20","66","20","80","4","23","73","10","26","64","9","16","75","34"
"362678","09","NEPHROLOGY ASSOCIATES OF CLEVELAND, LTD.","5595 TRANSPORTATION BLVD., SUITE 110","","GARFIELD HEIGHTS","OH","44125","CUYAHOGA","2165810801","1","Y","CENTERS FOR DIALYSIS CARE","22Apr2016-13Jan2017","001","11","10","79","14","15","71","23","77","17","20","63","11","24","65","9","17","74","34"
"342536","06","DIALYSIS CARE OF ROCKINGHAM COUNTY INC","251 W KINGS HWY","","EDEN","NC","27288","ROCKINGHAM","3366237906","1","Y","DAVITA","22Apr2016-13Jan2017","001","17","17","66","20","26","54","14","86","12","37","51","20","25","55","12","27","61","51"
"342662","06","FRESENIUS MEDICAL CARE ST PAULS","153 EAST MCLEAN ST","","ST PAULS","NC","28358","ROBESON","9108653086","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"342663","06","NORTH CHARLOTTE","6620 OLD STATESVILLE ROAD","","CHARLOTTE","NC","28269","MECKLENBURG","7045991355","1","Y","DAVITA","22Apr2016-13Jan2017","001","28","14","58","31","21","48","21","79","24","37","39","17","39","44","13","41","46","61"
"342664","06","FRESENIUS MEDICAL CARE SCOTLAND COUNTY DIALYSIS","1061 ABERDEEN ROAD","","LAURINBURG","NC","28353","SCOTLAND","9102773592","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"342665","06","YADKIN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY","225 WASHINGTON STREET","","YADKINVILLE","NC","27055","YADKIN","3366771182","1","Y","WAKE FOREST UNIVERSITY","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"342666","06","MARSHVILLE DIALYSIS CENTER","7260 E MARSHVILLE BLVD","","MARSHVILLE","NC","28103","UNION","7046245000","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"342667","06","MILLER STREET DIALYSIS CENTER OF WAKE FOREST UNIVERSITY","120 MILLER ST","","WINSTON SALEM","NC","27103","FORSYTH","3367240468","2","Y","WAKE FOREST UNIVERSITY","22Apr2016-13Jan2017","001","14","12","74","19","14","67","21","79","6","30","64","6","27","67","5","20","75","80"
"362737","09","FRESENIUS KIDNEY CARE CELINA","801 PRO DRIVE, STE B","","CELINA","OH","45822","MERCER","4195861686","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362738","09","FMC - INDIAN HILLS","820 VETERANS DRIVE","","JACKSON","OH","45640","JACKSON","7402865556","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362739","09","DAVITA - OHIO PIKE DIALYSIS","1761 STATE ROUTE 125, SUITE G","","AMELIA","OH","45102","CLERMONT","5137970713","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362741","09","DAVITA HILLSBORO REGIONAL DIALYSIS","1487 NORTH HIGH STREET, UNIT 1A","","HILLSBORO","OH","45133","HIGHLAND","9373939020","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362742","09","DAVITA - NORWOOD DIALYSIS","2300 WALL STREET","","CINCINNATI","OH","45212","HAMILTON","5135312111","1","Y","DAVITA","22Apr2016-13Jan2017","001","24","19","57","29","18","53","23","77","23","25","52","23","25","52","22","27","51","55"
"362743","09","DAVITA - REDBANK VILLAGE DIALYSIS","3960 REDBANK RD., STE 160","","CINCINNATI","OH","45227","HAMILTON","5132715420","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362744","09","DAVITA - CHERRY VALLEY DIALYSIS","1627 W. MAIN STREET","","NEWARK","OH","43055","LICKING","7405221699","1","Y","DAVITA","22Apr2016-13Jan2017","001","11","24","65","24","24","52","18","82","11","33","56","24","26","50","27","22","51","42"
"332610","02","WEST NASSAU DIALYSIS CTR, INC","75 ROCKAWAY AVENUE","","VALLEY STREAM","NY","11580","NASSAU","5168234444","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","17","15","68","21","20","59","32","68","14","28","58","13","32","55","16","21","63","84"
"332737","02","PREMIER DIALYSIS CENTER","33 STATE ROUTE 17M","SUITE #1","HARRIMAN","NY","10926","ORANGE","8457817100","2","Y","HARRIMAN PARTNERS, LLC","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"332738","02","NEW YORK DIALYSIS SERVICES INC.","760 SOUTH BROADWAY","","HICKSVILLE","NY","11801","NASSAU","5168271370","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"332739","02","PALM GARDEN DIALYSIS CENTER","615 AVENUE C","","BROOKLYN","NY","11218","KINGS","7186333300","1","N","INDEPENDENT","22Apr2016-13Jan2017","","","","","","","","","","","","","","","","","","",""
"332740","02","SCHENECTADY PARTNERS LLC","1594 STATE STREET","","SCHENECTADY","NY","12304","SCHENECTADY","5183825309","1","Y","AMERICAN RENAL ASSOCIATES","22Apr2016-13Jan2017","103","","","","","","","","","","","","","","","","","",""
"332741","02","EAST GREENBUSH DIALYSIS","583 COLUMBIA TURNPIKE","","EAST GREENBUSH","NY","12061","RENSSELAER","5184774370","1","N","INDEPENDENT","22Apr2016-13Jan2017","","","","","","","","","","","","","","","","","","",""
"332742","02","PENINSULA CONTINUUM SERVICES LLC","50-15 BEACH CHANNEL DRIVE","","FAR ROCKAWAY","NY","11691","QUEENS","7187342190","1","N","INDEPENDENT","22Apr2016-13Jan2017","","","","","","","","","","","","","","","","","","",""
"362644","09","DAVITA - PREMIERE KIDNEY CENTER OF NEWARK","65 SOUTH TERRACE AVE","","NEWARK","OH","43055","LICKING","7405222955","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362645","09","DAVITA - MIDWEST FAIRBORN  DIALYSIS","1266 NORTH BROAD ST.","","FAIRBORN","OH","45324","GREENE","9378790433","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362646","09","FMC - GALLIPOLIS","137 PINE STREET, STE 101","","GALLIPOLIS","OH","45631","GALLIA","7404419300","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362647","09","DAVITA - BUTLER COUNTY DIALYSIS","3497 SOUTH DIXIE HWY","","FRANKLIN","OH","45005","WARREN","5134221467","1","Y","DAVITA","22Apr2016-13Jan2017","001","6","18","76","9","21","70","11","89","6","8","86","3","22","75","2","11","87","45"
"362648","09","FMC - MT. CARMEL WEST","745 WEST STATE ST SUITE 660","","COLUMBUS","OH","43222","FRANKLIN","6142242344","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362649","09","FMC - LIBERTY MID-AMERICA DIALYSIS LLC.","2355 SOUTH HAMILTON RD","","COLUMBUS","OH","43232","FRANKLIN","6143671679","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","18","17","65","21","21","58","27","73","14","33","53","11","34","55","15","30","55","31"
"362650","09","DAVITA - COLUMBUS DOWNTOWN DIALYSIS","415 EAST MOUND STREET","","COLUMBUS","OH","43215","FRANKLIN","6142281773","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"312530","03","DAVITA BRIDGEWATER DIALYSIS CTR","2121 ROUTE 22 WEST","","BOUND BROOK","NJ","08805","SOMERSET","7324697202","1","Y","DAVITA","22Apr2016-13Jan2017","001","22","14","64","18","23","59","17","83","19","24","57","7","29","64","8","31","61","52"
"312531","03","NO JERSEY LINCOLN PK","DIALYSIS CENTER","6A FRASSETTO WAY","LINCOLN PARK","NJ","07035","MORRIS","9738720099","1","Y","DAVITA","22Apr2016-13Jan2017","001","16","17","67","11","23","66","12","88","8","36","56","7","30","63","11","19","70","38"
"332545","02","UNIVERSITY DIALYSIS CENTER","1127 EAST GENESEE STREET","","SYRACUSE","NY","13210","ONONDAGA","3154735100","2","Y","DIALYSIS CLINIC, INC.","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"332546","02","CATSKILL DIALYSIS CENTER","139 FORESTBURGH RD","","MONTICELLO","NY","12701","SULLIVAN","8457963300","1","Y","DAVITA","22Apr2016-13Jan2017","001","14","15","71","25","25","50","18","82","8","41","51","19","55","26","22","19","59","32"
"332547","02","ROGOSIN INSTITUTE-QUEENS","66-20 QUEENS BOULEVARD","DIALYSIS CTR.","WOODSIDE","NY","11377","QUEENS","7184573000","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","21","14","65","15","13","72","18","82","16","27","57","10","14","76","14","10","76","90"
"332548","02","RENAL CARE OF BUFFALO, INC.","550 ORCHARD PARK ROAD","","WEST SENECA","NY","14224","ERIE","7166770089","1","Y","DAVITA","22Apr2016-13Jan2017","001","13","11","76","16","24","60","20","80","11","21","68","14","22","64","12","30","58","53"
"332549","02","FMS-NIAGARA RENAL CENTER, INC.","3018 MILITARY ROAD","","NIAGARA FALLS","NY","14304","NIAGARA","7162984195","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","12","11","77","16","19","65","18","82","9","18","73","18","23","59","19","17","64","33"
"322534","15","322534 RED ROCKS DIALYSIS- GALLUP","725 HOSPITAL DR","","GALLUP","NM","87301","MCKINLEY","5058633465","2","Y","RED ROCKS DIALYSIS LLC","22Apr2016-13Jan2017","001","37","16","47","32","18","50","25","75","35","25","40","24","32","44","23","27","50","90"
"322535","15","322535 RED ROCKS DIALYSIS - ZUNI","20 D AVENUE","","ZUNI","NM","87327","MCKINLEY","5057825663","2","Y","RED ROCKS DIALYSIS, LLC","22Apr2016-13Jan2017","001","37","18","45","34","18","48","24","76","34","22","44","23","24","53","14","13","73","86"
"322536","15","322536 RED ROCKS DIALYSIS - CROWNPOINT","JCT OF HWY 57 & RTE 9","","CROWNPOINT","NM","87313","MCKINLEY","5057865280","2","Y","RED ROCKS DIALYSIS, LLC","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"322537","15","322537 ARTESIA DIALYSIS (DVA)","702 N 13TH ST","","ARTESIA","NM","88210","EDDY","5757462074","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"312559","03","DVA EDISON","29 MERIDIAN ROAD","","EDISON","NJ","08820","MIDDLESEX","7322059883","1","Y","DAVITA","22Apr2016-13Jan2017","001","7","13","80","9","15","76","12","88","4","28","68","0","19","81","5","16","79","53"
"312560","03","FMC SILVER DIALYSIS","DIALYSIS UNIT","1417 BRACE RD SUITE B","CHERRY HILL","NJ","08034","CAMDEN","8562168463","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","14","17","69","16","24","60","23","77","10","24","66","9","24","67","13","17","70","47"
"312561","03","RV BAYONNE","434-436 BROADWAY","","BAYONNE","NJ","07002","HUDSON","2014361664","1","Y","RENAL VENTURES MANAGEMENT","22Apr2016-13Jan2017","001","8","17","75","4","12","84","6","94","6","31","63","2","8","90","1","5","94","43"
"332743","02","VESTAL HEALTHCARE LLC","176-35 UNION TURNPIKE","","FRESH MEADOWS","NY","11366","QUEENS","7189693293","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","","","","","","","","","","","","","","","","","","",""
"332744","02","GLOVERSVILLE DIALYSIS CENTER","99 EAST STATE STREET","","GLOVERSVILLE","NY","12078","FULTON","5187259925","1","N","INDEPENDENT","22Apr2016-13Jan2017","103","","","","","","","","","","","","","","","","","",""
"332745","02","NEW YORK DIALYSIS SERVICES INC.","595 DEGRAW STREET","","BROOKLYN","NY","11217","KINGS","7188520197","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","","","","","","","","","","","","","","","","","","",""
"330079","02","ADIRONDACK MEDICAL CENTER ESRD","2233 STATE ROUTE 86","","SARANAC LAKE","NY","12983","FRANKLIN","5188972641","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"330080","02","LINCOLN HOSPITAL","234 EAST 149TH STREET","HEMODIALYSIS UNIT","BRONX","NY","10451","BRONX","7185795548","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"330101","02","NEW YORK & PRESBYTERIAN HOSPITALS, INC.","525 E 68TH ST","HEMODIALYSIS UNIT","NEW YORK","NY","10065","NEW YORK","2127465333","2","N","INDEPENDENT","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"330136","02","MARY IMOGENE BASSETT HOSPITAL","1 ATWELL ROAD","DIALYSIS UNIT","COOPERSTOWN","NY","13326","OTSEGO","6075473350","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"362651","09","DAVITA - MUNROE FALLS","265 NORTH MAIN STREET","","MUNROE FALLS","OH","44262","SUMMIT","3306891400","1","Y","DAVITA","22Apr2016-13Jan2017","001","15","19","66","19","20","61","20","80","13","18","69","8","33","59","9","19","72","36"
"333547","02","TRUDE WEISHAUPT MEMORIAL DIALYSIS CENTER","@ NEW YORK HOSPITAL OF QUEENS","59-28 174TH STREET","FRESH MEADOWS","NY","11365","QUEENS","7186701276","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","9","12","79","11","15","74","17","83","8","23","69","6","16","78","4","10","86","119"
"333548","02","KINGSTON HOSPITAL DIALYSIS CENTER- SATELLITE","37 ALBANY AVENUE","","KINGSTON","NY","12401","ULSTER","8453342821","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","17","18","65","5","18","77","15","85","15","32","53","0","21","79","0","8","92","70"
"333552","02","FAXTON ST. LUKE'S HEALTHCARE - MASONIC","2150 BLEEKER STREET","","UTICA","NY","13501","ONEIDA","3157243897","2","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"333553","02","NOYES CENTER FOR KIDNEY DISEASE AND DIALYSIS","4616 MILLENNIUM DRIVE","DIALYSIS UNIT","GENESEO","NY","14454","LIVINGSTON","5859915015","2","N","INDEPENDENT","22Apr2016-13Jan2017","","","","","","","","","","","","","","","","","","",""
"333554","02","ROCHESTER GENERAL HOSPITAL DIALYSIS CENTER","370 RIDGE ROAD EAST","STE. 10","ROCHESTER","NY","14621","MONROE","5859220300","2","N","INDEPENDENT","22Apr2016-13Jan2017","001","11","12","77","15","20","65","20","80","5","24","71","11","23","66","7","19","74","188"
"333555","02","NASSAU UNIVERSITY MEDICAL CENTER","A. HOLLY PATERSON EXTENDED CARE FACILITY","875 JERUSALEM AVENUE","UNIONDALE","NY","11553","NASSAU","5165721800","2","N","INDEPENDENT","22Apr2016-13Jan2017","","","","","","","","","","","","","","","","","","",""
"332550","02","FMS-NEPHRO CARE WEST","358-362 4TH AVE","","BROOKLYN","NY","11215","KINGS","7188586675","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","13","15","72","18","18","64","28","72","8","37","55","16","21","63","14","20","66","60"
"332551","02","PURE LIFE RENAL OF BUFFALO INC.","6010 MAIN STREET","","WILLIAMSVILLE","NY","14221","ERIE","7166314700","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","13","10","77","20","22","58","21","79","9","20","71","8","39","53","14","30","56","57"
"332666","02","ST. JOSEPH'S - CAMILLUS","5101 WEST GENESEE STREET","","CAMILLUS","NY","13031","ONONDAGA","3154882979","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"332667","02","ST. JOSEPH'S - NORTHEAST","4105 MEDICAL CENTER DRIVE","","FAYETTEVILLE","NY","13066","ONONDAGA","3153292580","1","N","INDEPENDENT","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"332668","02","ST. JOSEPH'S - CORTLAND","3993 WEST ROAD","","CORTLAND","NY","13045","CORTLAND","6076620140","1","N","INDEPENDENT","22Apr2016-13Jan2017","001","16","24","60","13","21","66","20","80","6","23","71","2","15","83","3","11","86","35"
"332669","02","YONKERS EAST DIALYSIS CENTER","5 ODELL PLAZA","SUITE 131","YONKERS","NY","10701","WESTCHESTER","9143760296","1","Y","DAVITA","22Apr2016-13Jan2017","001","24","15","61","16","20","64","19","81","15","36","49","12","23","65","7","15","78","71"
"332670","02","LONG ISLAND RENAL CARE, INC.","3460 GREAT NECK ROAD","","AMITYVILLE","NY","11701","SUFFOLK","6315326969","1","Y","DAVITA","22Apr2016-13Jan2017","001","19","15","66","24","21","55","24","76","7","32","61","17","32","51","18","23","59","87"
"312562","03","SHINING STAR DAVITA BRICKTOWN DC","525 JACK MARTIN BOULEVARD","SUITE 200","BRICK","NJ","08724","OCEAN","7328369669","1","Y","DAVITA","22Apr2016-13Jan2017","001","20","16","64","9","20","71","10","90","13","22","65","7","22","71","6","12","82","46"
