"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS date2","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"232564","11","FMC ROYAL PARK - ZEELAND","2 ROYAL PARK DR","","ZEELAND","MI","49464","OTTAWA","(616) 748-0522","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","21","66","9","22","69","18","82","15","27","58","6","13","81","4","15","81"
"232565","11","DAVITA - GRAND RAPIDS","801 CHERRY ST SE","","GRAND RAPIDS","MI","49506","KENT","(616) 458-5100","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","12","19","69","12","28","60","26","74","13","27","60","12","28","60","9","28","63"
"232566","11","FMC CLYDE PARK - WYOMING","4893 CLYDE PARK AVE SW","","WYOMING","MI","49509","KENT","(616) 531-5353","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","24","55","18","25","57","20","80","25","28","47","15","35","50","13","37","50"
"232567","11","GREENFIELD HS - EASTPOINTE","21400 KELLY RD","","EASTPOINTE","MI","48021","MACOMB","(586) 779-8779","Non-Profit","Yes","GREENFIELD HEALTH SYSTEMS","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","14","67","27","20","53","24","76","18","31","51","27","36","37","18","38","44"
"232568","11","YPSILANTI DIALYSIS OF DAVITA","2766 WASHTENAW RD","","YPSILANTI","MI","48197","WASHTENAW","(734) 528-9280","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","23","22","55","16","31","53","18","82","18","33","49","9","35","56","9","49","42"
"232569","11","GRAND BLANC DIALYSIS OF DAVITA","3625 GENESYS PKWY","","GRAND BLANC","MI","48439","GENESEE","(810) 953-8800","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","21","65","15","29","56","15","85","14","16","70","12","26","62","12","23","65"
"232570","11","DAVITA - HIGHLAND PARK","64 VICTOR","","HIGHLAND PARK","MI","48203","WAYNE","(313) 852-7700","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","25","9","66","18","20","62","28","72","28","24","48","16","32","52","21","23","56"
"232571","11","JACKSON DIALYSIS OF DAVITA","234 W LOUIS GLICK HWY STE 200","","JACKSON","MI","49201","JACKSON","(517) 841-1712","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232572","11","DAVITA - LUDINGTON","7 N ATKINSON DR STE 210","","LUDINGTON","MI","49431","MASON","(231) 843-4609","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","10","23","67","9","24","67","14","86","11","17","72","16","8","76","12","12","76"
"232573","11","DAVITA - CASS CITY DIALYSIS","6757 MAIN ST","","CASS CITY","MI","48726","TUSCOLA","(989) 872-5544","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232574","11","SOUTHEAST MICHIGAN KIDNEY CENTER","1695 W 12 MILE RD, SUITE 250","","BERKLEY","MI","48072","OAKLAND","(248) 414-5200","Profit","Yes","GREENFIELD HEALTH SYSTEMS","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232575","11","CLARKSTON DIALYSIS OF DAVITA","6770 DIXIE HWY STE 205","","CLARKSTON","MI","48346","OAKLAND","(248) 620-0958","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","24","58","5","23","72","15","85","22","26","52","1","26","73","0","34","66"
"232576","11","MICHIGAN DIALYSIS SERVICES OF ANN ARBOR","2850 S INDUSTRIAL HWY STE 100","","ANN ARBOR","MI","48104","WASHTENAW","(734) 677-1490","Non-Profit","Yes","UNIVERSITY OF MICHIGAN","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232577","11","UNIV OF MI DIALYSIS CLINICS - LIVONIA","19900 HAGGERTY RD, SUITE 106","","LIVONIA","MI","48152","WAYNE","(734) 432-7870","Non-Profit","Yes","UNIVERSITY OF MICHIGAN","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","5","13","82","4","14","82","16","84","3","10","87","0","9","91","0","1","99"
"232578","11","STATE FAIR DIALYSIS - DAVITA","19800 WOODWARD AVE","","DETROIT","MI","48203","WAYNE","(313) 893-8610","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","17","64","17","21","62","23","77","22","22","56","13","23","64","13","27","60"
"232580","11","FMC DIALYSIS - BEWICK","7733 E JEFFERSON AVE STE 120","","DETROIT","MI","48214","WAYNE","(313) 824-3430","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232582","11","FMC DIALYSIS - WEST ANN ARBOR","2355 W STADIUM BLVD","","ANN ARBOR","MI","48103","WASHTENAW","(734) 623-2259","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232583","11","DAVITA - SCHAEFER DR","18100 SCHAEFER HWY","","DETROIT","MI","48235","WAYNE","(313) 861-4354","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","15","65","27","17","56","27","73","20","29","51","19","36","45","24","32","44"
"232584","11","DAVITA - CADIEUX","6150 CADIEUX","","DETROIT","MI","48224","WAYNE","(313) 640-9295","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","22","13","65","19","21","60","27","73","23","22","55","9","28","63","9","31","60"
"232585","11","FMC - ESCANABA","3501 LUDINGTON ST","","ESCANABA","MI","49829","DELTA","(906) 789-8009","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232586","11","SAGINAW DIALYSIS CLINIC - DAVITA","311 HOYT AVE","","SAGINAW","MI","48607","SAGINAW","(989) 771-5094","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232587","11","FMC WEST NORTON - MUSKEGON","1080 WEST NORTON AVE","","MUSKEGON","MI","49441","MUSKEGON","(231) 780-5468","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","8","16","76","13","17","70","16","84","0","36","64","6","27","67","8","12","80"
"232588","11","DAVITA - GRAND RAPIDS EAST","1230 EKHART ST NE","","GRAND RAPIDS","MI","49503","KENT","(616) 742-8930","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","17","65","18","28","54","29","71","18","24","58","8","35","57","14","24","62"
"232589","11","FMC - MANISTEE","1293 E PARKDALE AVE","","MANISTEE","MI","49660","MANISTEE","(231) 398-1790","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232590","11","FMC - CADILLAC","203 PALUSTER ST","","CADILLAC","MI","49601","WEXFORD","(231) 779-8917","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232591","11","FMC - BALDWIN","1101 WASHINGTON AVE","","BALDWIN","MI","49304","LAKE","(231) 745-2020","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232592","11","DAVITA - DOWNRIVER KIDNEY CTR","5600 ALLEN RD","","ALLEN PARK","MI","48101","WAYNE","(313) 382-5933","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","28","17","55","24","23","53","32","68","24","29","47","28","30","42","27","28","45"
"232594","11","RRC - MT MORRIS","G-7220 N SAGINAW RD","","MOUNT MORRIS","MI","48458","GENESEE","(810) 687-6837","Profit","Yes","RELIANT RENAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232596","11","DAVITA - ROMULUS","31470 ECORSE RD","","ROMULUS","MI","48174","WAYNE","(734) 722-5455","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232598","11","BAY AREA REGL DIALYSIS CTR - SAGINAW RIVERSIDE","920 N NIAGARA ST","","SAGINAW","MI","48602","SAGINAW","(989) 921-2170","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","28","19","53","23","23","54","30","70","30","19","51","17","22","61","18","26","56"
"232599","11","FMC ROCKFORD PARK - ROCKFORD","311 ROCKFORD PARK DR NE","","ROCKFORD","MI","49341","KENT","(616) 863-6214","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","30","25","45","22","33","45","24","76","32","26","42","24","43","33","24","36","40"
"232600","11","DAVITA - GREENVIEW","18544 EIGHT MILE ROAD","","SOUTHFIELD","MI","48075","OAKLAND","(248) 569-1729","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","17","59","27","22","51","20","80","27","36","37","22","41","37","34","34","32"
"232601","11","FLUSHING DIALYSIS OF DAVITA","3469 PIERSON PLACE, STE A","","FLUSHING","MI","48433","GENESEE","(810) 733-5004","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","8","22","70","19","22","59","20","80","5","26","69","9","12","79","9","15","76"
"232602","11","RRC - DAVISON","2031 FAIRWAY DR","","DAVISON","MI","48423","GENESEE","(810) 654-0138","Profit","Yes","RELIANT RENAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","1","5","94","4","17","79","10","90","0","5","95","4","3","93","3","9","88"
"232604","11","SOUTHFIELD WEST DIALYSIS OF DAVITA","21900 MELROSE AVE","SUITE #4","SOUTHFIELD","MI","48075","OAKLAND","(248) 356-8079","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","11","73","14","26","60","22","78","23","7","70","13","28","59","13","35","52"
"232605","11","DAVISON DIALYSIS OF DAVITA","1011 SOUTH STATE RD","","DAVISON","MI","48423","GENESEE","(810) 658-8224","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232606","11","FMC - THREE RIVERS","601 S HEALTH PKWY","","THREE RIVERS","MI","49093","SAINT JOSEPH","(269) 273-4991","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","20","60","18","27","55","19","81","28","11","61","12","21","67","15","18","67"
"232607","11","DAVITA - NEWAYGO COUNTY","1317 W MAIN ST","","FREMONT","MI","49412","NEWAYGO","(231) 924-4535","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","5","30","65","10","28","62","11","89","4","25","71","5","21","74","7","15","78"
"232608","11","FLINT DIALYSIS OF DAVITA","2 HURLEY PLAZA, SUITE 115","","FLINT","MI","48503","GENESEE","(810) 239-9920","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","17","70","12","17","71","16","84","9","23","68","3","29","68","0","18","82"
"232609","11","HALLWOOD DIALYSIS OF DAVITA","4929 CLIO ROAD STE B","","FLINT","MI","48504","GENESEE","(810) 787-4496","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","15","16","69","20","22","58","24","76","12","22","66","13","38","49","9","36","55"
"232610","11","PARK PLAZA DIALYSIS OF DAVITA","G-1075 N BALLENGER HWY","","FLINT","MI","48504","GENESEE","(810) 235-8468","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","8","71","14","19","67","23","77","20","8","72","6","18","76","2","22","76"
"232611","11","FMC - BIG RAPIDS","14307 NORTHLAND DR","","BIG RAPIDS","MI","49307","MECOSTA","(231) 527-1622","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","35","26","39","15","22","63","22","78","34","14","52","7","18","75","7","35","58"
"232612","11","NW DETROIT DIALYSIS - LAHSER SATELLITE","25664 LAHSER ROAD","","SOUTHFIELD","MI","48034","OAKLAND","(248) 358-7521","Profit","Yes","GREENFIELD HEALTH SYSTEMS","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","21","60","24","22","54","25","75","17","33","50","16","43","41","13","33","54"
"232613","11","DAVITA OAK PARK DIALYSIS","13481 W 10 MILE RD","PARKSWOODS PLAZA","OAK PARK","MI","48237","OAKLAND","(248) 582-9750","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","14","62","22","24","54","20","80","27","20","53","23","27","50","20","35","45"
"232614","11","GREAT LAKES DIALYSIS, LLC","14614 KERCHEVAL ST","","DETROIT","MI","48215","WAYNE","(313) 308-4200","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","25","13","62","18","16","66","25","75","19","21","60","13","16","71","12","9","79"
"232615","11","FMC - ST CLAIR SHORES","26210 HARPER AVE STE 200","","SAINT CLAIR SHORES","MI","48081","MACOMB","(586) 771-4868","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","18","64","13","24","63","25","75","13","28","59","9","22","69","10","25","65"
"232617","11","DAVITA BATTLE CREEK DIALYSIS","220 GOODALE AVE E STE B","","BATTLE CREEK","MI","49037","CALHOUN","(269) 968-8401","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","10","13","77","17","14","69","16","84","2","18","80","12","21","67","5","13","82"
"232618","11","FMC - LANSING","3960 PATIENT WAY, SUITE 112","","LANSING","MI","48911","INGHAM","(517) 393-0352","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","24","31","45","22","22","56","26","74","22","33","45","19","31","50","19","28","53"
"232619","11","FRESENIUS MEDICAL CARE - TAYLOR","22970 NORTHLINE ROAD, #100","","TAYLOR","MI","48180","WAYNE","(734) 287-6585","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232620","11","FMC - TAWAS BAY","1698 E HURON","","EAST TAWAS","MI","48730","IOSCO","(989) 362-5267","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","7","22","71","9","22","69","12","88","8","21","71","5","29","66","5","29","66"
"232621","11","FMC - SOUTH HAVEN","199 VETERANS BLVD","","SOUTH HAVEN","MI","49090","VAN BUREN","(269) 639-1800","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232622","11","WESTLAND DIALYSIS OF DAVITA","36588 FORD RD","","WESTLAND","MI","48185","WAYNE","(734) 721-1030","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","7","22","71","15","20","65","15","85","9","37","54","6","19","75","11","8","81"
"232623","11","FMC - BATTLE CREEK NORTH","233 E ROOSEVELT AVE","","BATTLE CREEK","MI","49017","CALHOUN","(269) 968-8860","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","8","14","78","4","20","76","12","88","7","13","80","3","3","94","3","3","94"
"232624","11","DAVITA - BALLENGER POINTE","2262 S BALLENGER HWY","","FLINT","MI","48503","GENESEE","(810) 232-9004","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232625","11","FMC - CHARLOTTE","111 LANSING ST, SUITE 120","","CHARLOTTE","MI","48813","EATON","(517) 543-6777","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","35","25","40","16","19","65","24","76","37","13","50","13","16","71","13","12","75"
"232626","11","FMC - KALAMAZOO PD UNIT","527 E MICHIGAN AVE","","KALAMAZOO","MI","49007","KALAMAZOO","(269) 384-6191","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232627","11","FMC - SHELBY","56065 VAN DYKE AVE","","SHELBY TOWNSHIP","MI","48316","MACOMB","(586) 677-2008","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","21","70","7","26","67","17","83","9","38","53","9","18","73","9","17","74"
"232628","11","ROCHESTER HILLS DIALYSIS OF DAVITA","1886 W AUBURN RD","SUITE 100","ROCHESTER HILLS","MI","48309","OAKLAND","(248) 299-7901","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","13","21","66","13","30","57","17","83","13","27","60","17","28","55","19","34","47"
"232629","11","RRC - LAPEER","1375 N MAIN STREET","","LAPEER","MI","48446","LAPEER","(810) 667-5940","Profit","Yes","RELIANT RENAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","15","21","64","9","21","70","21","79","7","24","69","12","10","78","11","8","81"
"232630","11","FMC - CHESTERFIELD","48656 GRATIOT AVE","","CHESTERFIELD","MI","48051","MACOMB","(586) 949-0329","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232631","11","DAVITA EAST DEARBORN DIALYSIS","13200 W WARREN AVE","SUITE A","DEARBORN","MI","48126","WAYNE","(313) 582-0131","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232632","11","DAVITA - CHELSEA","1620 COMMERCE PARK DR","SUITE 200","CHELSEA","MI","48118","WASHTENAW","(734) 475-9710","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232633","11","FMC - KALAMAZOO EAST","2901 E KILGORE RD","","KALAMAZOO","MI","49001","KALAMAZOO","(269) 345-1660","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","10","18","72","16","22","62","21","79","9","31","60","14","27","59","11","28","61"
"232634","11","LANSING DIALYSIS OF FMC","2710 S WASHINGTON AVE","SUITE 100","LANSING","MI","48910","INGHAM","(517) 272-1380","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","25","15","60","30","20","50","27","73","22","22","56","26","21","53","21","29","50"
"232635","11","FENTON DIALYSIS OF DAVITA","17420 SILVER PARKWAY","","FENTON","MI","48430","GENESEE","(810) 750-9200","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","23","17","60","17","21","62","24","76","23","16","61","15","16","69","12","27","61"
"232637","11","COMMERCE TOWNSHIP DIALYSIS OF DAVITA","120 W COMMERCE RD","","COMMERCE TOWNSHIP","MI","48382","OAKLAND","(248) 363-4862","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232638","11","DAVITA - IONIA DIALYSIS","2622 HEARTLAND BLVD","","IONIA","MI","48846","IONIA","(616) 522-0265","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","11","18","71","7","18","75","15","85","15","23","62","3","12","85","3","17","80"
"232639","11","DAVITA - KALAMAZOO CENTRAL","535 S BURDICK #110","","KALAMAZOO","MI","49007","KALAMAZOO","(269) 343-0251","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232640","11","FMC HASTINGS AVE - HOLLAND","649 HASTINGS AVE","","HOLLAND","MI","49423","OTTAWA","(616) 392-3263","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","25","58","10","21","69","20","80","22","28","50","11","15","74","6","19","75"
"232641","11","DAVITA - KALAMAZOO WEST","1040 N 10TH S, STE 100","","KALAMAZOO","MI","49009","KALAMAZOO","(269) 353-4366","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232642","11","MACOMB REGIONAL DIALYSIS CENTER","16151 19 MILE RD","STE 200","CLINTON TOWNSHIP","MI","48038","MACOMB","(586) 263-8350","Profit","Yes","GREENFIELD HEALTH SYSTEMS","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","17","64","15","15","70","9","91","20","22","58","10","13","77","6","10","84"
"232643","11","GROSSE POINTE DIALYSIS OF DAVITA","18000 E WARREN AVE","","DETROIT","MI","48224","WAYNE","(313) 343-5371","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","16","63","21","21","58","26","74","19","29","52","22","28","50","23","31","46"
"232644","11","RRC - WEST FLINT","G4007 CORUNNA RD","","FLINT","MI","48532","GENESEE","(810) 877-6582","Profit","Yes","RELIANT RENAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","5","14","81","13","19","68","16","84","3","8","89","2","22","76","7","22","71"
"232645","11","KALKASKA DIALYSIS CENTER","415 - 2ND ST","","KALKASKA","MI","49646","KALKASKA","(231) 258-3680","Non-Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","19","72","6","14","80","13","87","7","25","68","5","6","89","3","8","89"
"232646","11","DAVITA - LANSING HOME HHD/PD","4530 S HAGADORN RD STE B","","EAST LANSING","MI","48823","INGHAM","(517) 333-8450","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"232647","11","CLINTON TOWNSHIP DIALYSIS OF DAVITA","15918 NINETEEN MILE RD","SUITE 110","CLINTON TOWNSHIP","MI","48038","MACOMB","(586) 412-9195","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","15","67","13","28","59","21","79","16","25","59","18","32","50","20","22","58"
"232648","11","FMC - SANDUSKY","47 DAWSON ST","SUITE 3","SANDUSKY","MI","48471","SANILAC","(810) 648-9490","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
